timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
"1e9d61d27bdc2985fd9a20f8349a37d48f2a70d768397b079eed8aa052801929 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",bf176da8-b54d-4328-bd3e-0e312c519359,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Female,yes,Don’t know,Definitely no,Occasionally,between true and untrue,between true and untrue,26,right,left,neutral,false,sh,4,0
"f3b2c8e96439e61937d6bd74675c50c560cde200b11ad26745f5f3f917757e0b Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",bf176da8-b54d-4328-bd3e-0e312c519359,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Female,yes,Don’t know,Definitely no,Occasionally,between true and untrue,between true and untrue,27,right,left,erotic,false,t,4,0
"468e5a83cf4efdc734a24d3cf62414ba7c800d43c1d16c3a1475810b048bf807 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 Edg/87.0.664.66",227554e9-d37b-4ce5-9eef-f4f583f68d55,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,60+,Female,yes,Probably does,Don't know,Only a few times,true,very untrue,14,left,left,erotic,true,t,4,0
"2be901955c313b44fad5e1607de4d5cc5354f6a9977cd848b5ba112e5c4fa742 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 Edg/87.0.664.66",227554e9-d37b-4ce5-9eef-f4f583f68d55,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,60+,Female,yes,Probably does,Don't know,Only a few times,true,very untrue,15,right,left,neutral,false,sh,4,0
"86f7ead713fb31579f781c67ced811410aa31b867f438d3d63fa78ae0942deb2 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",bf176da8-b54d-4328-bd3e-0e312c519359,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Female,yes,Don’t know,Definitely no,Occasionally,between true and untrue,between true and untrue,28,left,left,erotic,true,sh,4,0
"7b7540e7764c781d7d087a41b25914a8c1d51befbc95a74c828110e47b6ffed1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 Edg/87.0.664.66",227554e9-d37b-4ce5-9eef-f4f583f68d55,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,60+,Female,yes,Probably does,Don't know,Only a few times,true,very untrue,13,left,left,erotic,true,t,4,0
"17a0ef7be3ea627af8a8a44e965bc1f74412aa1e5d765215d8e244e0e1f2150b Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 Edg/87.0.664.66",227554e9-d37b-4ce5-9eef-f4f583f68d55,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,60+,Female,yes,Probably does,Don't know,Only a few times,true,very untrue,16,left,right,neutral,false,t,4,0
"337aa8b377a995a03fd3afbc868134aeda7905f4918b15cca355a9a55e040dc7 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",bf176da8-b54d-4328-bd3e-0e312c519359,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Female,yes,Don’t know,Definitely no,Occasionally,between true and untrue,between true and untrue,29,left,right,neutral,false,t,4,0
"9b4cce1a5a0022e2683259344b0eb4d569d8acd777d44ddcc9a8534fba3ff790 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 Edg/87.0.664.66",227554e9-d37b-4ce5-9eef-f4f583f68d55,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,60+,Female,yes,Probably does,Don't know,Only a few times,true,very untrue,17,left,right,erotic,false,sh,4,0
"b278526670436e26dd426c43b7153bae0c3f0d6bbcc5f77da2d20ae7d90aa1c7 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",bf176da8-b54d-4328-bd3e-0e312c519359,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Female,yes,Don’t know,Definitely no,Occasionally,between true and untrue,between true and untrue,30,right,right,neutral,true,t,4,0
