timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
934fe02f943aada5eda48cb8dec9fcbc6acefccc4ac1f45ce591297678e114a0 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,10,left,left,erotic,true,sh,4,0
"91552374dd29e9131aed963cbb4a90e8326219e52d1ef431c533d88a61359a94 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",54f146fd-504a-4339-8159-4637e5e4f313,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
"ab23d847ee8f1ff0a63e197a105da9e5ef5cd85b730d74619b0929c5a52c6a05 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",54f146fd-504a-4339-8159-4637e5e4f313,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
561ef48be50dc657c95f78e2155653776ee37c480c8eb4f118143da053033534 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,11,left,left,erotic,true,t,4,0
3cb6829ade2204d747409083d00261bd18d876086fd6600861cb04b771de3c65 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,12,right,left,neutral,false,t,4,0
b779eda6575eb5e6cefd3e9cca1ab25fabdabed8b06106630ce668364cc63040 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,13,right,right,neutral,true,sh,4,0
"299158f8a763cb598d0455cef2270b0a8c4a3f20fd80f10c091f2ae9ae2005af Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",54f146fd-504a-4339-8159-4637e5e4f313,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,0-17,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
7bdb5352a41d506acab13a2eb542246ac4291e706c6f346ba11468ba21e15c15 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,14,right,left,neutral,false,t,4,0
ff8c386167cc422f2ffe292b18c8ef8e3ac9784cc253ed028477906f9720701c Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,15,right,right,erotic,true,t,4,0
1dc3e58eddd90213f271cff81f3a9f2db41586ee4c1e32d115fbbc1c6a251615 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,16,left,right,erotic,false,sh,4,0
a98df90928754bcfabeb9885d302abd3f78e8c73a7ecc6e402e38257fc49c2da Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,17,left,right,erotic,false,t,4,0
3a11f2560174fbfaea86ab738955074da347abe0122734896a95a66f6234d79a Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,18,left,left,neutral,true,t,4,0
19d85737b6b60040f475eb6eb89b35bbd5b5153694e95777b970988f66b02d68 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,19,left,right,erotic,false,sh,4,0
45a5b90fb6fd805ca14332e5314d0f28f540e56bb5a504531ec4cc9ae07b2fab Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,20,right,left,neutral,false,sh,4,0
d487a16a998111202c6e60875e493d43535edef3183416aeae18f856c6345448 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,21,left,right,erotic,false,sh,4,0
cb564107cf5cd02cdffbd1539bc7642f9674ca93ad2ebf7a8048e71aa2a06c42 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,22,left,left,erotic,true,sh,4,0
a11923a151a174cb464a6b779469585c87af071d046762abc4887c0fcba91d4f Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,23,right,left,erotic,false,t,4,0
a977423f341a7615fff67329fa1091ae8a6dd65856ba1e86cc0bc5d6d1e28775 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,24,right,left,neutral,false,sh,4,0
52fd239df89f6215c6a8ef2e744f1d5d742a896dee55af666de28c0e65af8537 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,25,left,left,neutral,true,sh,4,0
d3d187b76f61aa299077b025d0bd8f7db1a9426f1d1070ff27f997b6a4d55c85 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,256e2084-0ad0-4d62-a0e8-f59ed6b45a1b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,45-59,Male,yes,Probably does,Definitely no,"No, never",true,untrue,26,right,left,neutral,false,sh,4,0
c075601103faeca9f32b02ffa0321cfa0e270b3fe3eea0335a5572841174dbde Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,1f379014-b320-457a-9f37-6d8439d63f3b,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Male,yes,Probably does not,Don't know,"No, never",untrue,untrue,1,left,left,neutral,true,sh,4,0
